Imo,RecievedTime,Latitude,Longitude,NavStatus,FullWaitTime,WaitingCount,MooredCount,type,built,dwt,loa,beam,holdsTotal,hatchesToNo,draughtMeters
9731468,2019-11-17 07:58:05+00:00,-20.111645,118.5649583,1,39.98777778,23,26,Bulk Carrier,2017,207812,299.88,50,9,9,18.5
9468724,2020-01-09 07:59:14+00:00,-20.08969167,118.5291067,1,39.98861111,25,29,Bulk Carrier,2011,175292,291.8,45,9,9,18.25
9317377,2019-08-16 23:57:44+00:00,-20.12021667,118.5640167,1,39.98916667,22,31,Open Hatch Carrier,2006,54881,189.99,32.26,5,5,12.52
9567996,2020-01-25 15:58:04+00:00,-20.094135,118.5152233,1,39.99027778,35,24,Bulk Carrier,2014,207547,299.94,50,9,9,18.27
9743289,2019-08-05 23:59:20+00:00,-20.11819667,118.536575,1,39.99027778,21,30,Bulk Carrier,2016,180882,292,45,9,9,18.3
9700835,2019-05-29 23:57:56+00:00,-20.12264833,118.5335567,1,39.99055556,27,32,Bulk Carrier,2014,207529,299.94,50,9,9,18.27
9458688,2020-01-23 15:58:58+00:00,-20.09225,118.5145,1,39.99111111,35,28,Bulk Carrier,2010,179719,292,45,9,9,17.92
9748693,2019-09-22 15:59:19+00:00,-20.07787333,118.512165,1,39.99111111,28,28,Bulk Carrier,2016,208329,299.95,50,9,9,18.4
9446465,2019-04-20 23:58:02+00:00,-20.1203,118.5884667,0,39.99194444,36,22,Bulk Carrier,2010,180176,288.93,45,9,9,18.17
9723150,2020-01-01 23:57:37+00:00,-20.105365,118.514255,1,39.99222222,21,28,Bulk Carrier,2015,209956,299.99,50,9,9,18.43
9591131,2019-12-07 23:59:48+00:00,-20.11593833,118.5977283,1,39.99277778,30,29,Ore Carrier,2013,262779,328.05,57,5,5,18.83
9531870,2019-07-12 15:59:31+00:00,-20.09208333,118.6180167,1,39.99305556,16,27,Bulk Carrier,2010,207993,299.7,50,9,9,18.23
9593220,2019-09-23 15:59:29+00:00,-20.08108167,118.6223933,1,39.99305556,31,31,Bulk Carrier,2013,205938,299.92,50,9,9,18.4
9700184,2019-05-24 15:59:55+00:00,-20.08307833,118.5806433,1,39.99361111,34,29,Bulk Carrier,2015,207560,299.97,50,9,9,18.47
9409144,2019-12-09 15:57:26+00:00,-20.09309333,118.596245,1,39.99416667,22,30,Bulk Carrier,2011,178342,292,44.98,9,9,17.98
9507520,2019-12-21 07:59:58+00:00,-20.11128333,118.618145,1,39.99472222,22,27,Bulk Carrier,2010,178978,292,45,9,9,18.2
9590060,2019-09-26 23:59:07+00:00,-20.107385,118.60943,1,39.99527778,27,33,Bulk Carrier,2011,179168,292,45,9,9,18.32
9711925,2019-09-16 15:58:39+00:00,-20.08126833,118.5404583,1,39.99527778,20,30,Bulk Carrier,2014,81005,229,32.26,7,7,14.48
9757591,2020-02-15 15:57:22+00:00,-20.06826,118.5730467,1,39.99666667,38,20,Bulk Carrier,2017,208864,299.95,50,9,9,18.42
9664873,2019-06-06 07:59:51+00:00,-20.08031667,118.58581,1,39.99777778,27,33,Bulk Carrier,2013,181389,291.98,45,9,9,18.24
9490894,2019-12-28 07:59:19+00:00,-20.0656,118.6008,1,39.99805556,23,26,Bulk Carrier,2010,179255,291.97,45,9,9,18.2
